TransactionID,Timestamp,CustomerName,CustomerType,Item,Quantity,UnitPrice,TotalPrice,PaymentMethod,TimeOfDay,DayOfWeek,DayOfMonth,MonthOfYear,Season,Weather,PromotionsApplied,StaffMember
1,8/15/23 7:32,Sophia Rodriguez,Walk-in,Croissant,2,3.5,7,Card,Morning,Tuesday,15,August,Summer,Sunny,None,Alice
2,8/15/23 7:45,Oliver Jackson,Walk-in,Coffee,1,2.5,2.5,Cash,Morning,Tuesday,15,August,Summer,Sunny,None,Bob
3,8/15/23 8:10,Isabella Nguyen,Online Order,Bagel with Cream Cheese,1,4,4,Card,Morning,Tuesday,15,August,Summer,Sunny,None,Alice
4,8/15/23 8:35,Ethan Williams,Walk-in,Muffin,1,3,3,Card,Morning,Tuesday,15,August,Summer,Sunny,None,Bob
5,8/15/23 9:02,Mia Brown,Walk-in,Scone,1,4.5,4.5,Cash,Morning,Tuesday,15,August,Summer,Sunny,None,Alice
6,8/15/23 9:48,Noah Davis,Walk-in,Coffee,1,2.5,2.5,Card,Morning,Tuesday,15,August,Summer,Sunny,None,Bob
7,8/15/23 10:15,Ava Miller,Walk-in,Bread Loaf - Sourdough,1,6,6,Card,Midday,Tuesday,15,August,Summer,Sunny,,Alice
8,8/15/23 11:01,William Wilson,Walk-in,Cookie - Chocolate Chip,3,2,6,Cash,Midday,Tuesday,15,August,Summer,Sunny,,Bob
9,8/15/23 12:20,Chloe Moore,Walk-in,Sandwich - Ham & Cheese,1,7.5,7.5,Card,Midday,Tuesday,15,August,Summer,Sunny,,Alice
10,8/15/23 13:45,James Taylor,Walk-in,Pastry - Apple Turnover,1,4,4,Cash,Afternoon,Tuesday,15,August,Summer,Sunny,,Bob
11,8/15/23 14:30,Abigail Anderson,Walk-in,Cake Slice - Chocolate,1,5,5,Card,Afternoon,Tuesday,15,August,Summer,Sunny,,Alice
12,8/15/23 15:18,Alexander Thomas,Walk-in,Tea - Black,1,3,3,Cash,Afternoon,Tuesday,15,August,Summer,Sunny,,Bob
13,8/15/23 16:05,Madison Hernandez,Walk-in,Cookie - Oatmeal Raisin,2,2,4,Card,Afternoon,Tuesday,15,August,Summer,Sunny,,Alice
14,8/15/23 17:22,Jacob Green,Walk-in,Bread Loaf - Whole Wheat,1,5.5,5.5,Cash,Evening,Tuesday,15,August,Summer,Sunny,,Bob
15,8/15/23 18:40,Emily Baker,Walk-in,Coffee - Decaf,1,2.5,2.5,Card,Evening,Tuesday,15,August,Summer,Sunny,,Alice
16,8/15/23 19:55,Michael King,Walk-in,Pastry - Cinnamon Roll,1,4.5,4.5,Cash,Evening,Tuesday,15,August,Summer,Sunny,,Bob
17,8/16/23 7:15,Ella Wright,Walk-in,Croissant,1,3.5,3.5,Card,Morning,Wednesday,16,August,Summer,Cloudy,,Alice
18,8/16/23 7:30,Daniel Lopez,Walk-in,Latte,1,4,4,Cash,Morning,Wednesday,16,August,Summer,Cloudy,,Bob
19,8/16/23 8:00,Grace Hill,Online Order,Muffin - Blueberry,2,3,6,Card,Morning,Wednesday,16,August,Summer,Cloudy,None,Alice
20,8/16/23 8:40,Matthew Scott,Walk-in,Bagel - Everything,1,3.5,3.5,Cash,Morning,Wednesday,16,August,Summer,Cloudy,None,Bob
21,8/16/23 9:10,Victoria Diaz,Walk-in,Scone - Blueberry,1,4.5,4.5,Card,Morning,Wednesday,16,August,Summer,Cloudy,None,Alice
22,8/16/23 9:55,Joseph Phillips,Walk-in,Coffee,2,2.5,5,Cash,Morning,Wednesday,16,August,Summer,Cloudy,None,Bob
23,8/16/23 10:30,Lily Evans,Pre-Order,Bread Loaf - Rye,3,5.5,16.5,Card,Midday,Wednesday,16,August,Summer,Cloudy,None,Alice
24,8/16/23 11:15,Andrew Collins,Walk-in,Cookie - Peanut Butter,4,2,8,Cash,Midday,Wednesday,16,August,Summer,Cloudy,None,Bob
25,8/16/23 12:40,Natalie Stewart,Walk-in,Sandwich - Turkey & Swiss,1,8,8,Card,Midday,Wednesday,16,August,Summer,Cloudy,None,Alice
26,8/16/23 14:00,Samuel Morris,Walk-in,Pastry - Pain au Chocolat,1,4.5,4.5,Cash,Afternoon,Wednesday,16,August,Summer,Cloudy,None,Bob
27,8/16/23 14:45,Brooklyn Murphy,Walk-in,Cake Slice - Vanilla,1,5,5,Card,Afternoon,Wednesday,16,August,Summer,Cloudy,None,Alice
28,8/16/23 15:30,David Rogers,Walk-in,Tea - Green,1,3,3,Cash,Afternoon,Wednesday,16,August,Summer,Cloudy,None,Bob
29,8/16/23 16:20,Samantha Cook,Walk-in,Cookie - Sugar,1,2,2,Card,Afternoon,Wednesday,16,August,Summer,Cloudy,None,Alice
30,8/16/23 17:40,Ryan Morgan,Walk-in,Bread Loaf - Multigrain,1,6,6,Cash,Evening,Wednesday,16,August,Summer,Cloudy,None,Bob
31,8/16/23 19:00,Scarlett Bell,Walk-in,Hot Chocolate,1,3.5,3.5,Card,Evening,Wednesday,16,August,Summer,Cloudy,None,Alice
32,8/16/23 20:10,Dylan Bailey,Walk-in,Pastry - Croissant Almond,1,5,5,Cash,Evening,Wednesday,16,August,Summer,Cloudy,None,Bob
33,8/17/23 7:00,Taylor Reed,Walk-in,Croissant,2,3.5,7,Card,Morning,Thursday,17,August,Summer,Rainy,None,Alice
34,8/17/23 7:20,Kaylee Cooper,Walk-in,Espresso,1,3,3,Cash,Morning,Thursday,17,August,Summer,Rainy,None,Bob
35,8/17/23 7:50,Brandon Richardson,Online Order,Muffin - Chocolate Chip,1,3,3,Card,Morning,Thursday,17,August,Summer,Rainy,None,Alice
36,8/17/23 8:30,Jasmine Murphy,Walk-in,Bagel - Plain,1,3,3,Cash,Morning,Thursday,17,August,Summer,Rainy,None,Bob
37,8/17/23 9:00,Caleb Perry,Walk-in,Scone - Cranberry,1,4.5,4.5,Card,Morning,Thursday,17,August,Summer,Rainy,None,Alice
38,8/17/23 9:40,Aubrey Foster,Walk-in,Coffee,1,2.5,2.5,Cash,Morning,Thursday,17,August,Summer,Rainy,None,Bob
39,8/17/23 10:20,Angel Rivera,Pre-Order,Bread Loaf - Brioche,2,7,14,Card,Midday,Thursday,17,August,Summer,Rainy,None,Alice
40,8/17/23 11:00,Julian Peterson,Walk-in,Cookie - Double Chocolate,5,2,10,Cash,Midday,Thursday,17,August,Summer,Rainy,None,Bob
41,8/17/23 12:30,Claire Hayes,Walk-in,Sandwich - BLT,1,8.5,8.5,Card,Midday,Thursday,17,August,Summer,Rainy,None,Alice
